CodCoti;Callcenter;Observacion_Evento
5577;27649;Cierre
5576;27650;Cierre
5575;27651;Cierre
5574;27652;Cierre
5573;27335;Cierre
5572;27330;Cierre
5571;27316;Cierre
5570;27283;Cierre
5569;27282;Cierre
5568;27532;Cierre
5561;27646;Cierre
5544;27580;Cierre
5542;27619;Cierre
5533;27578;Cierre
5530;27462;Cierre
5524;27563;Cierre
5522;27552;Cierre
5520;27548;Cierre
5517;27343;Cierre
5516;27502;Cierre
5502;27466;Cierre
5482;27447;Cierre
5481;27449;Cierre
5479;27436;Cierre
5478;27441;Cierre
5477;27442;Cierre
5476;27443;Cierre
5474;27395;Cierre
5462;27280;Cierre
5460;27374;Cierre
5434;27334;Cierre
5431;27307;Cierre
5429;27287;Cierre
5428;27286;Cierre
5417;27239;Cierre
5416;27208;Cierre
5414;27199;Cierre
5413;27198;Cierre
5412;27197;Cierre
5409;27254;Cierre
5403;27186;Cierre
5398;26925;Cierre
5394;27167;Cierre
5393;27166;Cierre
5389;26927;Cierre
5388;27159;Cierre
5387;27145;Cierre
5386;27111;Cierre
5385;26923;Cierre
5384;27011;Cierre
5380;26978;Cierre
5379;26996;Cierre
5378;26974;Cierre
5377;;Cierre
5376;;Cierre
5372;26950;Cierre
5371;26945;Cierre
5370;26943;Cierre
5369;26949;Cierre
5368;26922;Cierre
5367;26897;Cierre
5366;26885;Cierre
5364;26872;Cierre
5362;26616;Cierre
5361;26614;Cierre
5360;27155;Cierre
5356;27129;Cierre
5354;26689;Cierre
5352;26995;Cierre
5350;27131;Cierre
5347;27110;Cierre
5342;27036;Cierre
5341;27037;Cierre
5339;27055;Cierre
5338;27066;Cierre
5337;27069;Cierre
5334;26961;Cierre
5329;27051;Cierre
5325;26836;Cierre
5319;26979;Cierre
5315;26971;Cierre
5303;26972;Cierre
5302;26962;Cierre
5299;26970;Cierre
5298;26964;Cierre
5297;26969;Cierre
5296;26965;Cierre
5294;26967;Cierre
5287;26956;Cierre
5286;26954;Cierre
5285;26954;Cierre
