codigo;Chasis;monedaprevision_simec;NUEVO CODIGO SIMEC;NOMBRE EN SIMEC
425;6149;2;2MC00316;EL_SALVADOR_06149
779;27358;2;2MC00317;EL_SOLAR_27358
334;4569;2;2MC00318;ELEGANZA_4569
1457;67032;2;2MC01224;EL_OHIM_67032
1461;67117;2;2MC01239;EL_OHIM_A_67117
1462;67118;2;2MC01240;EL_OHIM_B_67118
1463;67033;2;2MC01241;EL_OHIM_D_67033
911;36218;2;2MC00319;ELSITA_36218
1002;43275;2;2MC00320;EMADE_43275
96;17801;2;2MC00321;EMINENCE_A_17801
97;17802;2;2MC00322;EMINENCE_B_17802
101;18390;2;2MC00323;EMINENCE_II_18390
1458;67030;2;2MC01159;EMMANUEL_67030
1213;54498;2;2MC01197;EMPRESARIAL_VIRGINIA_54498
426;6176;2;2MC00324;EOS_6176
937;38870;2;2MC00325;EPRIM_38870
1403;63636;2;2MC01242;ESCALA_63636
1466;67119;2;2MC01204;ESPERANZA_67119
407;58323;2;2MC00326;ESPERANZA_58323
79;1614;2;2MC00327;ESPINOZA_1614
1010;44801;2;2MC00328;ESPINOZA_QLLO_44801
1067;45575;2;2MC00329;ESPLENDIDA_45575
1086;44040;2;2MC00330;ESSENZA_A_44040
1033;44041;2;2MC00331;ESSENZA_B_44041
1089;EH93209;2;2MC00332;EVA_EH93209
834;30534;2;2MC00333;FAC_DE_ARQUIT_UMSS_30534
838;30535;2;2MC00334;FAC_DE_ARQUIT_UMSS_30535
952;38739;2;2MC00335;FAC_DE_BIO_Y_FARM_38739
953;38740;2;2MC00336;FAC_DE_BIO_Y_FARM_38740
1669;81030;1;2MC01316;FACULTAD_DE_DERECHO_A_81030
1679;81031;1;2MC01317;FACULTAD_DE_DERECHO_B_81031
904;35031;2;2MC00337;FAC_TECNOLOGIA_35031
905;35032;2;2MC00338;FAC_TECNOLOGIA_35032
1205;53883;2;2MC00346;FLIA_AGUILAR_53883
1377;60571;2;2MC01090;FLIA_ALMARAZ_60571
657;86967;2;2MC00347;FLIA_ANTEZANA_86967
1398;62817;2;2MC01243;FLIA_ARRAYA_62817
1386;60981;2;2MC01098;FLIA_BALDELOMAR_60981
1303;58524;2;2MC00348;FLIA_BLANCO_58524
116;17292;2;2MC00349;FLIA_CALLE_17292
1293;58016;2;2MC01181;FAMILIA_CAMPOS_58016
1531;72707;2;2MC01245;FLIA_CAMPOS_CALANCHA_72707
85;17275;2;2MC00350;FLIA_CORDOVA_17275
1396;62827;2;2MC01206;FLIA_FUENTES_62827
124;20041;2;2MC00351;FLIA_HINOJOSA_20041
1231;55468;2;2MC00352;FLIA_LA_TAPIA_55468
1101;48206;2;2MC00353;FLIA_MEJIA_AYACUCHO_48206
591;8007;2;2MC00355;FLIA_MENDOZA_8007
447;64276;2;2MC00356;FLIA_MERCADO_64276
26;12851;2;2MC00357;FLIA_MONTAÑO_12851
1594;76403;2;2MC01244;FLIA_ROJAS_76403
1615;78717;2;2MC01246;FLIA_ROJAS_GARCIA_78717
65;15444;2;2MC00358;FLIA_ROMERO_QLLO_15444
1393;62823;2;2MC01174;FLIA_SALINAS_62823
1135;50889;2;2MC00359;FLIA_SILES_50889
621;83809;2;2MC00361;FLIA_TERRAZAS_BLANCO_83809
23;12286;2;2MC00362;FLIA_TERRAZAS_II_12286
1365;60564;2;2MC01207;FLIA_TORRICO_60564
1105;48436;2;2MC01247;FLIA_VALDIVIA_48436
1305;58520;2;2MC00363;FLIA_VARGAS_QLLO_58520
1100;48205;2;2MC00364;FLIA_VASQUEZ_VASQUEZ_48205
1348;59838;2;2MC01091;FLIA_VILLARROEL_59838
1619;78776;2;2MC01318;FLIA_ZALLES_78776
176;23139;2;2MC00339;FED_AUTOTRANSP_CBBA_23139
183;24231;2;2MC00340;FELMAR_24231
1431;65080;2;2MC01123;FERRARAN_65080
944;40122;2;2MC00341;FERRARI_40122
295;40512;2;2MC00342;FIDE_40512
1218;54495;2;2MC00343;FISHER_54495
862;33168;2;2MC00344;FLAMINGO_TOWER_33168
863;33169;2;2MC00345;FLAMINGO_TOWER_33169
730;92877;2;2MC00354;FLIA_MENDIZABAL_92877
293;40011;2;2MC00365;FORTALEZA_40011
736;93817;2;2MC00366;FORTALEZA_93817
215;3124;2;2MC00367;FRANCI_3124
1666;84515;2;2MC01319;FRANCISCO_84515
1006;21330;2;2MC00368;FRANCO_MARIA_21330
310;41705;2;2MC00369;FRANZUR_A_41705
1660;80568;2;2MC01302;VIVA_OFI_STA_CRUZ_80568
456;65768;2;2MC00371;GAL_ANGOSTURA_65768
1157;51292;2;2MC00372;GAL_CERVANTES_51292
1495;67929;2;2MC01248;GALERIA_COSCENTER_67929
1573;74786;2;2MC01249;GALERIA_JAZMIN_74786
1292;57967;2;2MC00373;GAL_URKUPIÑA_57967
119;19621;2;2MC00374;GALU_19621
513;73173;2;2MC00375;GAVIOTA_73173
9;10721;2;2MC00376;GEMAS_10721
1306;58533;2;2MC00377;GERMAN_BUSTOS_58533
1364;60565;2;2MC01158;GIMNASIO_ODESUR_60565
728;92874;2;2MC00378;GIRASOLES_92874
195;26538;2;2MC00379;GIRONAS_26538
408;5836;2;2MC00380;GLOBOS_05836
214;KNF2088;2;2MC00381;GLOBOS_ESC_KNF2088
328;44420;2;2MC00382;GLORIA_44420
1008;44805;2;2MC00383;GOLDEN_TOWER_A_44805
1009;44806;2;2MC00384;GOLDEN_TOWER_B_44806
122;19970;2;2MC00385;GONZALES_19970
1382;60830;2;2MC01092;GRETA_60830
624;83926;2;2MC00386;GUADALUPE_NORTE_A_83926
625;83927;2;2MC00387;GUADALUPE_NORTE_B_83927
626;83928;2;2MC00388;GUADALUPE_SUD_A_83928
627;83929;2;2MC00389;GUADALUPE_SUD_B_83929
554;76914;2;2MC00390;GUSOT_A_76914
555;76915;2;2MC00391;GUSOT_B_76915
1335;58542;2;2MC01152;VILLA_OLIMPICA_II_B_CYC_58542
1336;58543;2;2MC01153;VILLA_OLIMPICA_II_B_CYC_58543
1160;51459;2;2MC01094;GUZMAN_51459
688;89646;2;2MC00393;HACIENDA_STA_MARIA_89646
615;83438;2;2MC00394;HEIDY_83438
494;6879;2;2MC00395;HEREDIA_BELTRAN_6879
266;35760;2;2MC00396;HERMA_35760
322;43465;2;2MC00397;HERMANOS_CAVERO_43645
864;33170;2;2MC00398;HEROINAS_33170
865;33229;2;2MC00399;HEROINAS_33229
1352;59424;2;2MC01131;HEROS_59424
402;57703;2;2MC00400;HERSMAN_57703
386;55310;2;2MC00401;HIJAS_DE_JESUS_55310
599;81064;2;2MC00402;HNAS_DE_LAS_ESC_CRIST_81064
619;83804;2;2MC00403;HOGAR_SAGRADO_CORAZON_DE_JESUS_83804
1113;48928;2;2MC00404;HOME_CENTER_48928
856;32513;2;2MC00410;HOSP_JOSE_DE_LA_REZA_32513
1114;48972;2;2MC00405;HOSP_CBBA_CAMILLERO_48972
1134;EH98048;2;2MC00406;HOSP_CBBA_HIDRAL_EH98048
1115;48971;2;2MC00407;HOSP_CBBA_SOCIAL_48971
727;92464;2;2MC00408;HOSP_HARRY_WILLIAMS_92464
999;22676;2;2MC00409;HOSP_INFANTIL_MEXICO_22676
1484;67586;1;2MC01250;HOSPITAL_PUNATA_A_67586
1485;67587;1;2MC01251;HOSPITAL_PUNATA_B_67587
1486;67588;1;2MC01252;HOSPITAL_PUNATA_C_67588
1487;67591;1;2MC01253;HOSPITAL_PUNATA_D_67591
1488;67592;1;2MC01254;HOSPITAL_PUNATA_E_67592
1152;51287;2;2MC01186;HOSP_SALOMON_KLEIN_51287
1153;51288;2;2MC01187;HOSP_SALOMON_KLEIN_51288
1150;51290;2;2MC01188;HOSP_SALOMON_KLEIN_51290
1151;51291;2;2MC01189;HOSP_SALOMON_KLEIN_51291
1154;51289;2;2MC01190;HOSP_SALOMON_KLEIN_51289
349;51284;2;2MC00411;HOSTAL_MILKA_51284
1116;49314;2;2MC00412;HOSTAL_AREVALO_49314
352;51506;2;2MC00413;HOSTAL_ECUATORIAL_51506
1041;43605;2;2MC00414;HOTEL_ALMANZA_43605
1230;55425;2;2MC01208;HOTEL_CAMINO_PLAZA_55425
35;13374;2;2MC00417;HOTEL_CBBA_A_13374
36;13375;2;2MC00418;HOTEL_CBBA_B_13375
878;33533;2;2MC00419;HOTEL_EL_ARCO_33533
301;40716;2;2MC00421;HOTEL_KOKUSAI_40716
749;94400;2;2MC00422;HOTEL_LA_COLONIA_94400
347;5;2;2MC00424;HOTEL_LA_COLONIA_EM_B_5
656;86944;2;2MC00425;HOTEL_LA_COLONIA_SERV_86944
655;86943;2;2MC00426;HOTEL_LA_COLONIA_SOC_86943
156;22472;2;2MC00427;HOTEL_LEON_22472
969;41105;2;2MC01165;HOTEL_MAGNO_41105
394;57155;2;2MC00428;HOTEL_OBLITAS_57155
263;35657;2;2MC00429;HOTEL_OVANDO_35657
382;5437;2;2MC00646;MONTAÑO_URUGUAY_5437
1451;66677;2;2MC01178;HOTEL_PRINCIPITO_66677
505;7200;2;2MC00430;HOTEL_REGINA_7200
612;82694;2;2MC00431;HOTEL_REGINA_82694
137;21213;2;2MC00432;HOTEL_TOLOMA_21213
664;87510;2;2MC00433;HOTEL_TOLOMA_87510
711;91080;2;2MC00434;HOTEL_TOLOMA_91080
1467;54483;2;2MC01132;HUMBERTO_EX_VILLA_GERMANIA_54483
950;35472;2;2MC00436;HUPERMALL_APART_HOTEL_35472
951;35473;2;2MC00435;HUPERMALL_APART_HOTEL_35473
653;8631;2;2MC00437;HUPERMALL_COMERCIAL_A_8631
654;8632;2;2MC00438;HUPERMALL_COMERCIAL_B_8632
652;35474;2;2MC00440;HUPERMALL_DPTO_A_35474
219;KNF2260;2;2MC00441;HUPERMALL_ESC_KNF2260
220;KNF2269;2;2MC00450;HUPERMALL_ESC_KNF2269
221;KNF2261;2;2MC00442;HUPERMALL_ESC_KNF2261
224;KNF2264;2;2MC00445;HUPERMALL_ESC_KNF2264
225;KNF2265;2;2MC00446;HUPERMALL_ESC_KNF2265
1161;KNF2262;2;2MC00443;HUPERMALL_ESC_KNF2262
1162;KNF2263;2;2MC00444;HUPERMALL_ESC_KNF2263
1163;KNF2266;2;2MC00447;HUPERMALL_ESC_KNF2266
1164;KNF2268;2;2MC00449;HUPERMALL_ESC_KNF2268
1165;KNF2267;2;2MC00448;HUPERMALL_ESC_KNF2267
968;41154;2;2MC00451;HUPERMALL_MONT_41154
887;35471;2;2MC00453;HUPERMALL_OFICINA_35471
888;35470;2;2MC00452;HUPERMALL_OFICINA_35470
943;39554;2;2MC00392;H_Y_H_39554
1249;56144;2;2MC00454;IAS_56144
675;88588;2;2MC00455;IBIZA_NORTE_88588
687;89573;2;2MC00456;IBIZA_SAN_PEDRO_89573
1648;THYESSEN3;2;2MC01255;IC_NORTE_A_THYESSEN_3
1649;THYESSEN4;2;2MC01256;IC_NORTE_B_THYESSEN_4
1650;THYESSEN5;2;2MC01257;IC_NORTE_ESC_A_THYESSEN_5
1651;THYESSEN6;2;2MC01258;IC_NORTE_ESC_B_THYESSEN_6
1652;THYESSEN7;2;2MC01259;IC_NORTE_ESC_C_THYESSEN_7
1653;THYESSEN8;2;2MC01260;IC_NORTE_ESC_D_THYESSEN_8
1514;57150;2;2MC01133;ICARO_57150
68;15469;2;2MC00457;ICHIBAN_A_15469
